City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Fortuna,US,73.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
4,Cidreira,BR,65.25,moderate rain,-30.1811,-50.2056,Hotel Castelo
8,Rikitea,PF,73.45,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Quatre Cocos,MU,68.11,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
12,Castro,BR,68.83,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
13,Shingu,JP,76.17,broken clouds,33.7333,135.9833,Shingu UI Hotel
16,Ayagoz,KZ,72.54,clear sky,47.9714,80.4392,ХАН
19,Hearst,CA,66.45,overcast clouds,49.6835,-83.6665,Companion
22,Kirakira,SB,79.05,broken clouds,-10.4544,161.9205,SanBiz Lodge
25,Yellowknife,CA,64.92,overcast clouds,62.456,-114.3525,The Explorer Hotel
27,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
28,Banepa,NP,70.12,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
32,Cape Town,ZA,60.89,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
33,Atuona,PF,76.73,light rain,-9.8,-139.0333,Villa Enata
34,Moindou,NC,65.16,clear sky,-21.6924,165.677,Equi-lodge de Moindou
35,Torbay,CA,62.76,overcast clouds,47.6666,-52.7314,Gallows Cove
39,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
41,Dumai,ID,75.85,overcast clouds,1.6833,101.45,Grand Zuri Dumai
49,Saint-Philippe,RE,67.59,clear sky,-21.3585,55.7679,Le four à pain
50,Port Alfred,ZA,68.23,clear sky,-33.5906,26.891,The Halyards Hotel
51,La Ronge,CA,77.22,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
57,Svetlogorsk,BY,62.22,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
58,Vao,NC,69.03,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
59,Katsuura,JP,79.38,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
62,Udachnyy,RU,68.45,few clouds,66.4167,112.4,Severnoye Siyaniye
64,Gasa,PS,76.87,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
65,Zhanaozen,KZ,75.96,clear sky,43.3,52.8,K.korabay 28A
66,Kawalu,ID,71.87,overcast clouds,-7.3817,108.2082,West Jontor
67,Narsaq,GL,61.02,broken clouds,60.9167,-46.05,Sleep In Narsaq
70,College,US,61.59,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
73,Lagoa,PT,72.34,clear sky,39.05,-27.9833,Casa Das Faias
75,East London,ZA,69.85,few clouds,-33.0153,27.9116,Tu Casa
76,Sao Filipe,CV,79.38,scattered clouds,14.8961,-24.4956,Hotel Xaguate
79,Ejea De Los Caballeros,ES,79.02,broken clouds,42.1263,-1.1372,Hotel Ciudad De Ejea
80,Soyo,AO,70.97,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
