City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,33.4,99,100,12.33,light snow
1,Ushuaia,AR,-54.8,-68.3,46.02,65,75,21.85,broken clouds
2,Fortuna,US,40.5982,-124.1573,73.92,70,0,12.66,clear sky
3,Esperance,AU,-33.8667,121.9,57.16,81,1,12.37,clear sky
4,Cidreira,BR,-30.1811,-50.2056,65.25,93,100,9.95,moderate rain
5,Lebu,CL,-37.6167,-73.65,52.43,78,0,14.45,clear sky
6,Tiksi,RU,71.6872,128.8694,51.6,91,91,5.28,overcast clouds
7,Bluff,NZ,-46.6,168.3333,47.8,75,100,11.74,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,73.45,73,91,21.36,overcast clouds
9,Quatre Cocos,MU,-20.2078,57.7625,68.11,76,5,11.27,clear sky
10,Jamestown,US,42.097,-79.2353,82.02,40,20,14.97,few clouds
11,Qaanaaq,GL,77.484,-69.3632,41.22,68,11,2.95,few clouds
12,Castro,BR,-24.7911,-50.0119,68.83,54,100,8.08,overcast clouds
13,Shingu,JP,33.7333,135.9833,76.17,92,68,4.68,broken clouds
14,Hithadhoo,MV,-0.6,73.0833,82.18,74,100,11.72,overcast clouds
15,Busselton,AU,-33.65,115.3333,59.81,83,100,18.52,overcast clouds
16,Ayagoz,KZ,47.9714,80.4392,72.54,33,5,8.93,clear sky
17,Temple,US,31.0982,-97.3428,101.23,36,20,13.8,few clouds
18,Roanoke Rapids,US,36.4615,-77.6542,93.15,74,0,8.05,clear sky
19,Hearst,CA,49.6835,-83.6665,66.45,81,99,6.71,overcast clouds
20,Cabo San Lucas,MX,22.8909,-109.9124,94.6,54,20,7.0,few clouds
21,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,93,100,5.75,light rain
22,Kirakira,SB,-10.4544,161.9205,79.05,85,79,8.88,broken clouds
23,Dikson,RU,73.5069,80.5464,43.39,100,100,15.93,overcast clouds
24,New Norfolk,AU,-42.7826,147.0587,42.3,83,7,4.23,clear sky
25,Yellowknife,CA,62.456,-114.3525,64.92,63,100,12.66,overcast clouds
26,Leningradskiy,RU,69.3833,178.4167,39.69,79,95,6.22,overcast clouds
27,Vaini,TO,-21.2,-175.2,77.16,88,40,6.91,scattered clouds
28,Banepa,NP,27.6298,85.5214,70.12,94,75,3.44,broken clouds
29,Naze,JP,28.3667,129.4833,81.52,81,24,13.33,few clouds
30,Tasiilaq,GL,65.6145,-37.6368,41.16,94,100,3.94,overcast clouds
31,Hilo,US,19.7297,-155.09,86.29,71,0,9.22,clear sky
32,Cape Town,ZA,-33.9258,18.4232,60.89,81,75,14.97,broken clouds
33,Atuona,PF,-9.8,-139.0333,76.73,77,28,24.96,light rain
34,Moindou,NC,-21.6924,165.677,65.16,81,0,6.78,clear sky
35,Torbay,CA,47.6666,-52.7314,62.76,87,100,17.27,overcast clouds
36,Klaksvik,FO,62.2266,-6.589,52.72,91,84,15.01,broken clouds
37,Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,23.02,light intensity shower rain
38,Airai,TL,-8.9266,125.4092,51.17,80,76,3.85,broken clouds
39,Avarua,CK,-21.2078,-159.775,78.85,73,40,23.02,scattered clouds
40,Mataura,NZ,-46.1927,168.8643,47.48,98,100,3.13,overcast clouds
41,Dumai,ID,1.6833,101.45,75.85,97,100,3.33,overcast clouds
42,Saldanha,ZA,-33.0117,17.9442,59.05,87,14,11.16,few clouds
43,Ous,RU,60.9058,61.5186,57.24,62,0,2.53,clear sky
44,Egvekinot,RU,66.3167,-179.1667,41.74,87,100,2.59,light rain
45,Lichinga,MZ,-13.3128,35.2406,55.49,71,20,8.05,few clouds
46,Les Cayes,HT,18.2,-73.75,85.28,61,77,12.03,broken clouds
47,Key West,US,24.5557,-81.7826,95.0,58,40,14.97,scattered clouds
48,Butaritari,KI,3.0707,172.7902,81.93,72,41,15.32,scattered clouds
49,Saint-Philippe,RE,-21.3585,55.7679,67.59,84,4,8.86,clear sky
50,Port Alfred,ZA,-33.5906,26.891,68.23,60,1,14.07,clear sky
