City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,2022-07-25 20:13:30,38.5167,-28.7,77.4,83,40,9.22
1,Quatre Cocos,MU,2022-07-25 20:15:38,-20.2078,57.7625,68.11,77,18,11.32
2,Hermanus,ZA,2022-07-25 20:15:38,-34.4187,19.2345,51.8,65,0,8.43
3,Itupiranga,BR,2022-07-25 20:15:39,-5.1347,-49.3267,97.12,34,63,2.39
4,Yangambi,CD,2022-07-25 20:12:18,0.8102,24.4336,70.45,93,91,1.34
5,Victoria,HK,2022-07-25 20:15:39,22.2855,114.1577,87.33,81,88,5.99
6,Leningradskiy,RU,2022-07-25 20:15:40,69.3833,178.4167,32.72,95,100,5.77
7,Kurilsk,RU,2022-07-25 20:15:40,45.2333,147.8833,55.96,98,98,2.37
8,Atuona,PF,2022-07-25 20:13:07,-9.8,-139.0333,77.11,67,50,11.79
9,Ushuaia,AR,2022-07-25 20:12:12,-54.8,-68.3,35.26,64,40,14.97
10,Cape Town,ZA,2022-07-25 20:15:41,-33.9258,18.4232,59.38,67,0,3.0
11,Weiser,US,2022-07-25 20:15:41,44.251,-116.9693,97.32,24,0,4.0
12,Lagoa,PT,2022-07-25 20:15:42,39.05,-27.9833,75.02,86,0,9.33
13,Salalah,OM,2022-07-25 20:14:15,17.0151,54.0924,77.09,100,100,4.61
14,Vila Franca Do Campo,PT,2022-07-25 20:15:42,37.7167,-25.4333,73.81,82,50,5.19
15,Port Hedland,AU,2022-07-25 20:15:43,-20.3167,118.5667,62.65,42,45,11.5
16,Vaini,TO,2022-07-25 20:15:43,-21.2,-175.2,75.36,83,20,6.91
17,Kruisfontein,ZA,2022-07-25 20:15:44,-34.0033,24.7314,53.89,77,0,8.23
18,Sokolo,ML,2022-07-25 20:15:44,14.7328,-6.1219,89.02,47,8,7.76
19,Alihe,CN,2022-07-25 20:15:45,50.5667,123.7167,60.64,98,4,0.65
20,Bengkulu,ID,2022-07-25 20:13:56,-3.8004,102.2655,71.76,86,100,3.31
21,Punta Arenas,CL,2022-07-25 20:12:31,-53.15,-70.9167,39.11,52,0,12.66
22,Hobart,AU,2022-07-25 20:15:45,-42.8794,147.3294,51.66,95,75,0.0
23,Cherskiy,RU,2022-07-25 20:15:46,68.75,161.3,48.76,51,74,9.15
24,Port Macquarie,AU,2022-07-25 20:15:46,-31.4333,152.9167,43.9,82,1,5.46
25,Marsh Harbour,BS,2022-07-25 20:15:47,26.5412,-77.0636,84.27,71,93,14.29
26,Terney,RU,2022-07-25 20:15:47,45.0503,136.6092,65.86,91,0,5.3
27,Lavrentiya,RU,2022-07-25 20:15:47,65.5833,-171.0,40.86,91,100,14.32
28,Puerto Ayora,EC,2022-07-25 20:15:48,-0.7393,-90.3518,76.96,89,66,8.01
29,Kapaa,US,2022-07-25 20:15:48,22.0752,-159.319,82.72,69,40,17.27
30,Bagdarin,RU,2022-07-25 20:12:18,54.4333,113.6,56.64,98,88,2.68
31,Hilo,US,2022-07-25 20:12:45,19.7297,-155.09,88.29,75,100,6.91
32,Henties Bay,NA,2022-07-25 20:15:49,-22.116,14.2845,55.29,93,17,3.31
33,Bikaner,IN,2022-07-25 20:15:50,28.0167,73.3,88.36,63,53,9.44
34,Albany,US,2022-07-25 20:15:50,42.6001,-73.9662,83.64,57,27,1.01
35,Bam,IR,2022-07-25 20:15:51,29.106,58.357,90.36,41,100,4.34
36,Sambava,MG,2022-07-25 20:15:51,-14.2667,50.1667,69.91,85,94,11.01
37,Parichhatgarh,IN,2022-07-25 20:15:52,28.9833,77.9333,84.06,64,17,7.34
38,Saskylakh,RU,2022-07-25 20:15:52,71.9167,114.0833,64.02,85,100,2.77
39,Barrow,US,2022-07-25 20:15:27,71.2906,-156.7887,37.42,93,100,26.46
40,Humaita,BR,2022-07-25 20:15:53,-7.5061,-63.0208,98.19,21,6,3.65
41,Kudahuvadhoo,MV,2022-07-25 20:15:53,2.6708,72.8944,79.84,80,82,13.24
42,Marsa Matruh,EG,2022-07-25 20:15:54,31.3525,27.2453,78.4,77,0,11.5
43,Blyth,GB,2022-07-25 20:15:54,55.1271,-1.5086,57.99,85,75,4.61
44,Georgetown,MY,2022-07-25 20:12:50,5.4112,100.3354,78.89,92,20,3.44
45,Saldanha,ZA,2022-07-25 20:15:55,-33.0117,17.9442,55.45,61,0,10.0
46,Russell,US,2022-07-25 20:16:55,32.3502,-85.1999,93.38,58,0,3.44
47,Longyearbyen,SJ,2022-07-25 20:16:56,78.2186,15.6401,48.04,81,75,17.27
48,Dikson,RU,2022-07-25 20:12:56,73.5069,80.5464,45.77,95,98,22.91
49,Seoul,KR,2022-07-25 20:16:45,37.5683,126.9778,74.64,100,0,1.14
50,Hithadhoo,MV,2022-07-25 20:16:57,-0.6,73.0833,82.33,72,6,8.61
51,Namibe,AO,2022-07-25 20:12:43,-15.1961,12.1522,63.25,83,3,6.13
52,Flinders,AU,2022-07-25 20:16:57,-34.5833,150.8552,57.38,89,100,4.0
53,Narsaq,GL,2022-07-25 20:16:58,60.9167,-46.05,57.42,86,100,2.26
54,Broken Hill,AU,2022-07-25 20:16:58,-31.95,141.4333,43.3,83,0,13.87
55,Pandharpur,IN,2022-07-25 20:16:59,17.6667,75.3333,76.17,80,100,9.78
56,Balkhash,KZ,2022-07-25 20:16:59,46.844,74.9804,74.73,32,50,11.95
57,Tasiilaq,GL,2022-07-25 20:17:00,65.6145,-37.6368,44.76,87,100,2.66
58,Ponta Do Sol,PT,2022-07-25 20:17:00,32.6667,-17.1,84.83,64,79,3.69
59,Uaua,BR,2022-07-25 20:17:00,-9.8414,-39.4817,78.04,50,100,18.54
60,Normandin,CA,2022-07-25 20:17:01,48.8333,-72.5321,70.11,63,84,26.46
61,Busselton,AU,2022-07-25 20:12:34,-33.65,115.3333,62.67,72,75,23.13
62,Sao Filipe,CV,2022-07-25 20:16:13,14.8961,-24.4956,79.14,86,100,5.37
63,Dennery,LC,2022-07-25 20:17:02,13.8996,-60.8879,84.29,83,40,17.27
64,Bethel,US,2022-07-25 20:14:50,41.3712,-73.414,87.37,71,0,9.22
65,Natal,BR,2022-07-25 20:17:02,-5.795,-35.2094,80.82,61,0,13.8
66,Thompson,CA,2022-07-25 20:16:04,55.7435,-97.8558,64.56,72,100,3.44
67,Te Anau,NZ,2022-07-25 20:17:03,-45.4167,167.7167,38.71,97,100,2.68
68,Touros,BR,2022-07-25 20:17:04,-5.1989,-35.4608,77.32,71,84,16.35
69,Faanui,PF,2022-07-25 20:15:57,-16.4833,-151.75,76.8,80,20,9.53
70,Rikitea,PF,2022-07-25 20:17:04,-23.1203,-134.9692,75.38,70,62,17.6
71,Qaanaaq,GL,2022-07-25 20:17:05,77.484,-69.3632,44.04,69,1,0.83
72,Gazanjyk,TM,2022-07-25 20:17:05,39.2446,55.5154,81.59,54,100,5.91
73,Mataura,NZ,2022-07-25 20:17:06,-46.1927,168.8643,44.47,96,100,11.05
74,Moengo,SR,2022-07-25 20:17:06,5.6167,-54.4,82.13,80,99,4.83
75,Akyab,MM,2022-07-25 20:17:07,20.15,92.9,81.23,80,6,3.29
76,Tabriz,IR,2022-07-25 20:17:07,38.08,46.2919,71.06,49,20,16.11
